Input_Text,Accepted_Completion,Rejected_Completion
Which country was NOT mentioned as part of the Apple Vision Pro's expansion plan in November 2024?,Japan.,South Korea.
How many years has Glover been sober as of the fall of 2024?,Three years.,Five years.
Which radio station does Greg Glover work for?,94.7 KNRK.,101.5 WXRT.
What was inscribed on the mug given to Glover by Bloodbuzz?,"""Don't act brand new.""","""Stay classic."""
What transformation did Glover undergo in the fall of 2020 regarding his health?,He received a pacemaker due to heart issues.,He underwent knee surgery.
What type of drink did Greg Glover substitute for coffee after quitting alcohol?,Iced coffee.,Herbal tea.
When was the Memory Saver feature first added to Google Chrome?,Memory Saver was added in 2022.,Memory Saver was added in 2021.
What are the three new modes of Memory Saver introduced in the latest Chrome update?,"The modes are Moderate, Balanced, and Maximum.","The modes are Minimal, Balanced, and Extreme."
In which section of Google Chrome settings can the new Memory Saver controls be accessed?,They can be accessed in the Settings > Performance panel.,They can be accessed in the Settings > Security panel.
What is the purpose of the Memory Saver feature in Google Chrome?,It frees up memory from inactive tabs to improve browser performance.,It increases the memory usage of active tabs for better performance.
How can users check the memory usage of a tab in Google Chrome?,By opening the built-in task manager or enabling the Settings > Appearance toggle.,By viewing the URL bar which displays memory usage.
How is Google Chrome updated if installed via the DEB package on Ubuntu?,It's updated through the Google APT repo alongside other updates.,It's updated manually through a separate update application.
What setting in Google Chrome shows active memory usage when hovering over a tab?,The setting is in the Settings > Appearance toggle.,The setting is in the Settings > Privacy toggle.
What problem does the Memory Saver feature aim to address in Google Chrome?,It aims to reduce the browser’s memory footprint.,It aims to increase the browser’s cache size.
"What was described as the ""biggest Call of Duty release ever"" by Microsoft CEO Satya Nadella in October 2024?",Call of Duty: Black Ops 6.,Call of Duty: Modern Warfare 3.
On what platform did Call of Duty: Black Ops 6 set a record for subscriber adds on its launch day in 2024?,Game Pass.,Steam.
By what percentage did Xbox content and services revenue increase year-on-year according to Microsoft's Q1 FY2025 financial report?,61 percent.,72 percent.
How much did Xbox hardware revenue fall year-on-year as reported in Q1 FY2025?,29 percent.,15 percent.
What was Microsoft's acquisition cost of Activision Blizzard finalized in 2024?,$69 billion.,$52 billion.
What was the percentage increase in PlayStation and Steam unit sales of Black Ops 6 year-over-year during its opening weekend?,60 percent.,45 percent.
What was said to have been the highest number achieved during Call of Duty: Black Ops 6's opening weekend?,The highest number of PC players in the franchise's history.,The highest number of console players in the franchise's history.
In which year did Starfield set a previous record for Game Pass subscriptions added on a single day?,Last year (2023).,This year (2024).
What type of campaign did Eurogamer's Chris Tapsell describe Call of Duty: Black Ops 6 as having?,"""Nonsensical, but surprisingly intimate"".","""Complex, yet surprisingly distant""."
What was Call of Duty: Black Ops 6's impact on physical sales in the UK compared to Modern Warfare 3?,Physical sales fell by 10 percent.,Physical sales increased by 5 percent.
What specific game mode's verdict was still pending according to Chris Tapsell's assessment of Black Ops 6?,Multiplayer component.,Single-player campaign.
During which financial quarter in 2024 did Microsoft report notable gains in gaming revenue?,Q1 FY2025.,Q4 FY2024.
"Which media outlet's reviewer, Chris Tapsell, gave feedback on Call of Duty: Black Ops 6's campaign?",Eurogamer.,IGN.
What graphics card was used in the benchmark test for Red Dead Redemption Remastered on PC in 2024?,NVIDIA GeForce RTX 4090.,NVIDIA GeForce RTX 3080.
"As of October 2024, what was the maximum FPS achieved in the open-world area of Red Dead Redemption Remastered using the specified hardware?",151FPS.,165FPS.
What technology is supported in Red Dead Redemption Remastered for improving performance on RTX40 GPUs?,NVIDIA DLSS 3 Frame Generation.,AMD FSR 3.0 Frame Generation.
Which operating system was used during the benchmark of Red Dead Redemption Remastered?,Windows 10 64-bit.,Windows 11 64-bit.
What FPS limit is present in Red Dead Redemption Remastered without modification?,144FPS.,120FPS.
"In the October 2024 benchmark, what was the approximate GPU usage of the NVIDIA GeForce RTX 4090?",Approximately 68%.,Approximately 85%.
What feature is not supported by Red Dead Redemption Remastered that affects users of non-RTX40 GPUs?,AMD FSR 3.0 Frame Generation.,NVIDIA DLSS 2.0 Super Resolution.
Which component was disabled during the benchmark testing of the AMD Ryzen 9 7950X3D CPU?,The second CCD was disabled.,The first CCD was disabled.
What gaming feature was used to unlock the framerate in Red Dead Redemption Remastered?,A mod was used to unlock the framerate.,A game patch was used to unlock the framerate.
What kind of performance improvement does NVIDIA DLSS 3 Frame Generation specifically provide for Red Dead Redemption Remastered?,It helps improve the game's performance by addressing CPU bottlenecks.,It directly increases GPU efficiency.
Which version of Red Dead Redemption Remastered was evaluated in the benchmark article from October 2024?,Red Dead Redemption Remastered on PC.,Red Dead Redemption 2 on PC.
"What company developed the game 7 Minutes in Hell, currently available in Early Access on Steam in 2024?",Gaggle Studios developed 7 Minutes in Hell.,Bloober Team developed 7 Minutes in Hell.
"Which classic survival horror game was remade by Bloober Team, as mentioned in the 2024 article?",Silent Hill 2 was remade by Bloober Team.,Resident Evil 2 was remade by Bloober Team.
"What game mode was recently added to The Texas Chain Saw Massacre video game, as highlighted in the 2024 article?",The Rush Week game mode was recently added.,The Siege Mode game mode was recently added.
What year was the original Dead Rising game released before its Deluxe Remaster in 2024?,The original Dead Rising game was released in 2006.,The original Dead Rising game was released in 2010.
Which upcoming game in 2024 is a sequel to Alien: Isolation?,Creative Assembly is working on a sequel to Alien: Isolation.,Bethesda is working on a sequel to Alien: Isolation.
"What feature of the Dark Pictures Anthology games allows for multiplayer engagement, as mentioned in 2024?",Players can be assigned a character in the game.,Players can create custom characters in the game.
What is the name of the horror anthology series by Supermassive Games mentioned in the article?,The Dark Pictures Anthology is developed by Supermassive Games.,The Light Pictures Anthology is developed by Supermassive Games.
What classic Doom game includes both survival horror elements and a mechanic involving swapping between a weapon and a flashlight?,Doom 3 includes the weapon and flashlight swapping mechanic.,Doom Eternal includes the weapon and flashlight swapping mechanic.
Which game was released as a tribute to Konami's classic run-and-gun gameplay?,Iron Meat is a tribute to Konami's run-and-gun style.,Silent Hill 2 is a tribute to Konami's run-and-gun style.
"In which year did Gun Interactive release the game mode inspired by a Giallo film, Rush Week?",The Rush Week mode was released in 2024.,The Rush Week mode was released in 2021.
What is the updated version of the original Dead Rising game that launched a month before October 2024 called?,It is called Dead Rising Deluxe Remaster.,It is called Dead Rising Redux Edition.
